"","dateB","difficulty","hashrate","price","revenue","bitcoin"
"400",2018-02-04,2603077300218,23033142.0539877,9224.62,20590452.2721636,0.00010840554949689
"401",2018-02-05,2603077300218,23938939.775212,8202.06,19165215.2614707,0.000121920590680878
"402",2018-02-06,2607870187292.06,24293141.3193202,6925.46,15587109.3084814,0.00014439474056597
"403",2018-02-07,2874674234415,20149017.2119067,7712.37,15016975.9975587,0.000129661828983827
"404",2018-02-08,2874674234415,18720008.8990056,7585.17,14093910.2289136,0.000131836201429895
"405",2018-02-09,2874674234415,19291612.224166,8245.08,14654771.0556346,0.000121284450848263
"406",2018-02-10,2874674234415,20434818.874487,8688.86,17003760.4952525,0.000115089896718327
"407",2018-02-11,2874674234415,21578025.5248079,8561,16243960.9275333,0.000116808784020558
"408",2018-02-12,2874674234415,23721537.9941597,8068.02,18718332.5740756,0.00012394614787767
"409",2018-02-13,2874674234415,23435736.3315795,8895.72,18275325.065837,0.000112413610140607
"410",2018-02-14,2874674234415,25579248.8009313,8527.87,20752674.9936762,0.000117262575531756
"411",2018-02-15,2874674234415,18720008.8990056,9471.64,16956455.4438234,0.000105578337014498
"412",2018-02-16,2874674234415,22435430.5125487,10033.77,20250868.4877061,9.96634365746873e-05
"413",2018-02-17,2874674234415,21292223.8622277,10178.56,20350444.8424035,9.82457243460765e-05
"414",2018-02-18,2874674234415,23149934.6689992,11085.83,23072914.4326253,9.02052439916542e-05
"415",2018-02-19,2874674234415,23149934.6689992,10392.46,23360784.6795428,9.62236082698418e-05
"416",2018-02-20,2967853337743.98,21079198.6660777,11171.78,20908106.0649931,8.95112506690966e-05
"417",2018-02-21,3007383866429,25265138.8267172,11245.98,23304639.0999643,8.89206632058745e-05
"418",2018-02-22,3007383866429,22275181.5691176,10485.78,19598925.7553184,9.53672497420316e-05
"419",2018-02-23,3007383866429,22125683.7062376,9850.78,19432244.5627423,0.000101514803903853
"420",2018-02-24,3007383866429,21677190.1175976,10171.3,18950033.89873,9.83158494980976e-05
"421",2018-02-25,3007383866429,25564134.5524772,9699.76,21134989.7819502,0.00010309533431755
"422",2018-02-26,3007383866429,21079198.6660777,9582.29,18189790.7038972,0.00010435918762634
"423",2018-02-27,3007383866429,23919658.0607974,10319.46,21628887.7869834,9.6904295379797e-05
"424",2018-02-28,3007383866429,23172168.7463975,10628.61,21634661.2243493,9.40856800654084e-05
"425",2018-03-01,3007383866429,24667147.3751973,10332.14,23098876.8038155,9.67853706976483e-05
"426",2018-03-02,3007383866429,23321666.6092775,10931.12,22178930.8207862,9.14819341476445e-05
"427",2018-03-03,3007383866429,26909615.3183971,11040.53,26214536.4268542,9.05753618712145e-05
"428",2018-03-04,3007383866429,22125683.7062376,11453.34,21193664.6514841,8.7310775721318e-05
"429",2018-03-05,3233581400367.21,24372959.7309369,11516.83,21974887.3290891,8.6829448728513e-05
"430",2018-03-06,3290605988755,25517998.1075581,11442.48,21958387.1614346,8.73936419377617e-05
"431",2018-03-07,3290605988755,25681575.018504,10727.69,21157511.2468039,9.32167130109091e-05
"432",2018-03-08,3290605988755,26499459.5732334,9920.46,20427544.5522535,0.000100801777336938
"433",2018-03-09,3290605988755,23882228.9980992,9324.5,16855150.3795833,0.000107244356265752
"434",2018-03-10,3290605988755,22900767.5324239,9262.8,16539689.0997224,0.000107958716586777
"435",2018-03-11,3290605988755,25027267.3747204,8777.37,18210037.1103318,0.000113929343299872
"436",2018-03-12,3290605988755,26335882.6622875,9538.93,19331971.3140078,0.000104833560996883
"437",2018-03-13,3290605988755,25845151.9294498,9130,18857575.5936039,0.000109529025191676
"438",2018-03-14,3290605988755,23555075.1762075,9153.54,16628207.7251464,0.000109247351297968
"439",2018-03-15,3290605988755,23555075.1762075,8214.99,14891789.5575998,0.000121728693522451
"440",2018-03-16,3290605988755,25517998.1075581,8263.34,16433524.3290414,0.000121016441293714
"441",2018-03-17,3290605988755,24372959.7309369,8297.89,15253956.5768365,0.000120512564037364
"442",2018-03-18,3381698122495.93,25990711.2963892,7885.08,14858429.9832526,0.000126821795086416
"443",2018-03-19,3462542391191,26679206.9598697,8214.46,16605902.4023534,0.000121736547502818
"444",2018-03-20,3462542391191,21859737.3155061,8605.64,14186967.874644,0.000116202862308904
"445",2018-03-21,3462542391191,26162835.2122593,8909.95,17547837.7941897,0.000112234075387628
"446",2018-03-22,3462542391191,24613719.9694282,8909.26,15970290.9102052,0.000112242767637267
"447",2018-03-23,3462542391191,22892480.8107269,8725.37,14416156.914284,0.00011460832033484
"448",2018-03-24,3462542391191,26851330.8757398,8917.48,17932503.4804805,0.000112139303928913
"449",2018-03-25,3462542391191,23236728.6424672,8533.76,14782031.2754538,0.000117181640917954
"450",2018-03-26,3462542391191,25818587.3805191,8457.96,15836955.2390767,0.000118231819493117
"451",2018-03-27,3462542391191,26162835.2122593,8146.5,15343941.6498773,0.000122752102129749
"452",2018-03-28,3462542391191,23236728.6424672,7797.25,13721935.6203732,0.000128250344672801
"453",2018-03-29,3462542391191,26162835.2122593,7950.61,14889676.7701514,0.000125776512745563
"454",2018-03-30,3462542391191,27884074.3709606,7099.17,14139824.0095985,0.000140861537334646
"455",2018-03-31,3462542391191,22031861.2313763,6854.19,11496221.1522506,0.000145896159867176
"456",2018-04-01,3494288842678.95,28274794.2168317,6937.56,13925230.1575455,0.000144142897502868
"457",2018-04-02,3511060552899,27227579.6162083,6827.54,13937108.1865593,0.00014646563769674
"458",2018-04-03,3511060552899,28449329.9836022,7065.29,15280200.9895155,0.000141537006973528
"459",2018-04-04,3511060552899,25656757.7152732,7426.48,13317444.6543738,0.000134653294696815
"460",2018-04-05,3511060552899,27227579.6162083,6810.71,13335649.4596023,0.000146827570106494
"461",2018-04-06,3511060552899,24085935.8143381,6786.66,11856536.2728565,0.000147347885410496
"462",2018-04-07,3511060552899,31416438.0187018,6634.68,15810472.7254065,0.000150723169768549
"463",2018-04-08,3511060552899,28100258.4500611,6910.12,14381384.2556293,0.000144715287144073
"464",2018-04-09,3511060552899,25656757.7152732,7029.71,12870549.029244,0.000142253378873382
"465",2018-04-10,3511060552899,28623865.7503728,6784.41,14212196.9640589,0.000147396752259961
"466",2018-04-11,3511060552899,28100258.4500611,6849.3,14153735.4143258,0.000146000321200707
"467",2018-04-12,3511060552899,26878508.0826671,6955.36,14467514.3872462,0.000143774010259713
"468",2018-04-13,3511060552899,28798401.5171434,7941.46,16743292.6560078,0.000125921430064497
"469",2018-04-14,3796188328004.62,26146926.5194725,7895.25,13886865.8879943,0.000126658433868465
"470",2018-04-15,3839316899029,31109116.953825,8013.91,17099064.2208301,0.000124783033500501
"471",2018-04-16,3839316899029,26910340.4324498,8368.1,14466032.4235628,0.000119501439992352
"472",2018-04-17,3839316899029,30918263.4755807,8069.03,16690427.1207468,0.000123930633545792
"473",2018-04-18,3839316899029,30536556.519092,7907.19,16302064.2693652,0.000126467177341129
"474",2018-04-19,3839316899029,33971919.1274899,8175.96,18490345.7646953,0.000122309796036184
"475",2018-04-20,3839316899029,26146926.5194725,8288.12,14670398.2209767,0.00012065462372649
"476",2018-04-21,3839316899029,30345703.0408477,8876.51,18417858.1100073,0.000112656888799765
"477",2018-04-22,3839316899029,30536556.519092,8930.6,18212921.6189653,0.000111974559380109
"478",2018-04-23,3839316899029,29200582.1713817,8812.76,17276582.7361094,0.000113471829483612
"479",2018-04-24,3839316899029,30345703.0408477,8952.68,19313819.5456429,0.00011169839645782
"480",2018-04-25,3839316899029,23474977.824052,9658.11,15079053.7777244,0.000103539926548776
"481",2018-04-26,3839316899029,26910340.4324498,8870.14,16228099.344968,0.000112737792188173
